Time (s),N_R,N_P,R Concentration (mol/L),P Concentration (mol/L),k (s^-1)
4.536195515181226,3841,2159,6.378279641315177e-21,3.585187645300564e-21,0.101
4.544776419891258,3840,2160,6.376619063434075e-21,3.586848223181667e-21,0.101
4.549875609265188,3839,2161,6.374958485552972e-21,3.58850880106277e-21,0.101
4.554223253519304,3838,2162,6.3732979076718696e-21,3.590169378943873e-21,0.101
4.556071639769732,3837,2163,6.371637329790767e-21,3.591829956824975e-21,0.101
4.556357285332107,3836,2164,6.369976751909664e-21,3.5934905347060774e-21,0.101
4.5593687389455875,3835,2165,6.368316174028562e-21,3.59515111258718e-21,0.101
4.571199219332685,3834,2166,6.366655596147459e-21,3.596811690468283e-21,0.101
4.573776892273087,3833,2167,6.3649950182663565e-21,3.598472268349386e-21,0.101
4.5768114965697215,3832,2168,6.363334440385254e-21,3.600132846230488e-21,0.101
4.578864722867737,3831,2169,6.361673862504151e-21,3.6017934241115906e-21,0.101
4.580279811864529,3830,2170,6.360013284623049e-21,3.603454001992693e-21,0.101
4.580712721174498,3829,2171,6.358352706741946e-21,3.605114579873796e-21,0.101
4.580793894931329,3828,2172,6.356692128860843e-21,3.606775157754899e-21,0.101
4.591173469173533,3827,2173,6.3550315509797406e-21,3.608435735636001e-21,0.101
4.593055865935848,3826,2174,6.353370973098638e-21,3.610096313517104e-21,0.101
4.59942378238693,3825,2175,6.351710395217535e-21,3.6117568913982064e-21,0.101
4.601257230184088,3824,2176,6.350049817336433e-21,3.613417469279309e-21,0.101
4.604330832479073,3823,2177,6.34838923945533e-21,3.615078047160412e-21,0.101
4.606143986445837,3822,2178,6.3467286615742275e-21,3.616738625041514e-21,0.101
4.606707913322294,3821,2179,6.345068083693125e-21,3.618399202922617e-21,0.101
